timestamp,rel_alt
1746614007.7631578,19.882
1746614007.8648593,20.197
1746614007.949455,20.442
1746614008.0791063,20.646
1746614008.1529431,20.777
1746614008.2335289,20.872
1746614008.3193276,20.923
1746614008.4400787,20.971
1746614008.5199423,21.051
1746614008.629637,21.139
1746614008.7053356,21.209
1746614008.804222,21.232
1746614008.9007266,21.222
1746614008.9939513,21.182
1746614009.0862832,21.117
1746614009.173524,21.046
1746614009.2841902,20.973
1746614009.380188,20.964
1746614009.8797107,21.073
1746614009.9362817,21.32
1746614009.9968479,21.582
1746614010.052538,21.852
1746614010.1961799,22.169
1746614010.2342858,22.452
1746614010.2752428,22.724
1746614010.3261504,23.01
1746614010.3929536,23.272
1746614010.446212,23.652
1746614010.4943228,24.063
1746614010.6169374,24.492
1746614010.6854053,24.995
1746614010.7300246,25.464
1746614010.8661017,25.909
1746614010.9255693,26.352
1746614011.7203505,26.705
1746614012.197376,27.663
1746614012.3758936,28.188
1746614012.4551096,28.385
1746614012.5411701,28.541
1746614012.5958679,28.64
1746614012.648441,28.724
1746614012.702658,28.815
1746614012.7551913,28.921
1746614012.8023765,29.087
1746614012.8573475,29.275
1746614012.9318511,29.476
1746614012.9919508,29.673
1746614013.0258963,29.861
1746614013.0603352,30.031
1746614013.1058385,30.225
1746614013.1535065,30.403
1746614013.208296,30.619
1746614013.2684255,30.902
1746614013.3087816,31.17
1746614013.3526785,31.491
1746614013.4043415,31.802
1746614013.4747915,32.094
1746614013.5196047,32.398
1746614013.6195657,32.675
1746614013.6976283,32.991
1746614014.039756,33.363
1746614014.5096443,33.695
1746614015.0707278,35.024
1746614015.2014053,35.594
1746614015.2765987,36.124
1746614015.3430753,36.595
1746614015.3963082,37.075
1746614015.4901543,37.497
1746614015.5483584,37.925
1746614015.601988,38.4
1746614015.6540337,38.837
1746614015.6998656,39.288
1746614015.7640245,39.789
1746614015.7998366,40.205
1746614015.860275,40.631
1746614015.91385,41.139
1746614015.9872231,41.599
1746614016.0444534,42.107
1746614016.1085417,42.54
1746614016.1918724,42.961
1746614016.238036,43.434
1746614016.3207,43.866
1746614016.3629348,44.304
1746614017.2418041,45.224
1746614017.3053463,45.685
1746614017.3639057,46.085
1746614017.4846847,46.489
1746614017.5545568,46.963
1746614017.6254468,47.363
1746614017.700456,47.696
1746614017.7535295,47.991
1746614017.8427384,48.191
1746614017.8895748,48.343
1746614017.9441805,48.471
1746614017.9848998,48.553
1746614018.0192163,48.621
1746614018.0988276,48.674
1746614018.1501715,48.731
1746614018.1913886,48.792
1746614018.2538507,48.847
1746614018.297874,48.919
1746614018.3348124,49.029
1746614018.396327,49.144
1746614018.4532876,49.255
1746614018.4869814,49.372
1746614018.532876,49.466
1746614018.6158812,49.553
1746614018.6585133,49.617
1746614018.7481742,49.689
1746614018.8257937,49.828
1746614018.9295063,49.992
1746614019.0154452,50.178
1746614019.6081495,50.396
1746614019.6780374,50.591
1746614019.7567022,50.783
1746614019.8097308,50.979
1746614019.8649068,51.12
1746614019.9328153,51.233
1746614019.9822311,51.367
1746614020.029894,51.49
1746614020.3985937,51.597
1746614020.9828029,51.804
1746614022.1306405,53.85
1746614022.5373118,54.832
1746614023.0655196,55.91
1746614023.5817885,56.589
1746614023.9106371,56.869
1746614024.984639,57.827
1746614025.2817328,58.459
1746614025.5783217,59.569
1746614025.7977924,60.211
1746614026.1398656,61.419
1746614026.638046,63.205
1746614027.3892162,63.683
1746614028.0314286,64.969
1746614028.2238672,65.579
1746614028.334483,65.967
1746614028.4002063,66.352
1746614028.5028682,66.79
1746614028.571741,67.181
1746614028.6505256,67.584
1746614028.7149823,68.024
1746614028.8051555,68.384
1746614028.8923926,68.715
1746614028.9610186,69.058
1746614029.0459394,69.34
1746614029.125656,69.595
1746614029.2084217,69.869
1746614029.2867723,70.125
1746614029.3805995,70.421
1746614029.435148,70.665
1746614029.5279577,70.887
1746614029.591927,71.135
1746614029.657037,71.358
1746614029.7155006,71.607
1746614029.7585618,71.833
1746614029.8153353,72.087
1746614029.8594086,72.401
1746614029.9156814,72.716
1746614029.9786744,73.06
1746614030.043667,73.488
1746614030.096272,73.906
1746614030.1882906,74.341
1746614030.2371407,74.823
1746614030.322833,75.235
1746614030.3777454,75.635
1746614030.4161663,76.06
1746614030.4828656,76.402
1746614030.5186548,76.688
1746614030.5731754,76.959
1746614030.6750731,77.181
1746614030.7948527,77.428
1746614031.7564979,77.649
1746614031.8261428,77.866
1746614031.892057,78.102
1746614031.9678528,78.311
1746614032.0530014,78.524
1746614032.1168237,78.776
1746614032.1927752,79.022
1746614032.2778654,79.289
1746614032.3396792,79.597
1746614032.4017258,79.875
1746614032.447381,80.17
1746614032.6768475,80.488
1746614033.0739155,81.064
1746614033.8714375,83.666
1746614034.7252266,85.724
1746614035.149274,86.858
1746614035.8095388,88.216
1746614036.2904377,89.058
1746614037.077293,90.314
1746614037.7695622,91.913
1746614037.8928585,92.158
1746614037.9610176,92.355
1746614038.0451212,92.511
1746614038.2563689,92.688
1746614038.3373523,92.729
1746614038.4050183,92.753
1746614038.4569986,92.784
1746614038.534455,92.851
1746614038.5890608,92.913
1746614038.6801605,92.977
1746614038.7592835,93.049
1746614038.8335736,93.131
1746614038.888079,93.247
1746614038.9524457,93.362
1746614039.0186446,93.483
1746614039.1284974,93.627
1746614039.186593,93.722
1746614039.2544062,93.782
1746614039.3142138,93.811
1746614039.354646,93.812
1746614039.3929224,93.8
1746614039.4651244,93.768
1746614039.5057645,93.713
1746614039.5481656,93.605
1746614039.5829184,93.443
1746614039.6451402,93.232
1746614039.6833599,92.932
1746614039.7288857,92.601
1746614039.7720883,92.22
1746614039.8434,91.746
1746614039.9653513,91.285
1746614040.0285654,90.789
1746614040.1327813,90.198
1746614040.218562,89.647
1746614040.3243527,89.014
1746614040.41997,88.454
1746614040.5256543,87.962
1746614040.6258075,87.514
1746614040.7064276,87.172
1746614041.082114,86.864
1746614041.1604524,86.551
1746614041.2449043,86.314
1746614041.2829196,86.14
1746614041.3283787,86.041
1746614041.5117276,85.984
1746614041.5751681,85.924
1746614041.6285448,85.87
1746614041.6786566,85.89
1746614041.7387114,86.01
1746614041.7669263,86.125
1746614042.0985978,86.197
1746614042.1748898,86.261
1746614042.365886,86.341
1746614042.7530406,86.409
1746614043.6794624,85.868
1746614044.3196552,85.595
1746614044.8000803,85.65
1746614044.866098,85.739
1746614044.9332216,85.827
1746614045.0283418,85.948
1746614045.1051013,86.091
1746614045.1600285,86.291
1746614045.2266178,86.484
1746614045.412697,86.723
1746614046.6802335,89.519
1746614047.1014743,90.257
1746614047.7603853,90.838
1746614047.843956,90.901
1746614047.9124057,90.962
1746614047.9998667,91.002
1746614048.0693758,91.027
1746614048.1238148,91.049
1746614048.267935,91.057
1746614048.3477798,91.061
1746614048.4292417,91.06
1746614048.4929495,91.052
1746614048.546939,91.044
1746614048.6010857,91.043
1746614048.6556408,91.034
1746614048.7285588,91.02
1746614048.7835999,91.012
1746614048.8471994,91.018
1746614048.9332106,91.034
1746614049.0073452,91.061
1746614049.0450854,91.107
1746614049.120213,91.154
1746614049.16081,91.2
1746614049.215975,91.251
1746614049.2794409,91.295
1746614049.3352349,91.326
1746614049.3843024,91.331
1746614049.4522915,91.298
1746614049.4908159,91.23
1746614049.5281808,91.156
1746614049.630393,91.078
1746614049.708851,90.979
1746614049.8080773,90.874
1746614049.8825738,90.759
1746614050.321967,90.634
1746614051.3539622,90.144
1746614052.0347674,89.831
1746614052.4489875,90.123
1746614052.7160733,90.593
1746614053.2051766,91.649
1746614053.5826418,92.533
1746614053.7856364,92.98
1746614053.8483076,93.16
1746614053.9067476,93.302
1746614053.9716332,93.421
1746614054.0389206,93.502
1746614054.0939844,93.571
1746614054.1704092,93.625
1746614054.2519217,93.647
1746614054.3220694,93.644
1746614054.382207,93.622
1746614054.4424102,93.581
1746614054.5148928,93.52
1746614054.581031,93.46
1746614054.6482742,93.391
1746614054.7050755,93.332
1746614054.7656982,93.272
1746614055.8861637,93.12
1746614056.7188041,94.68
1746614057.0739012,95.538
1746614058.09221,97.153
1746614058.686751,96.987
1746614059.1696665,96.685
1746614059.786342,96.837
1746614060.5771012,97.437
1746614061.4586012,98.67
1746614062.1105099,99.654
1746614062.7199693,99.808
1746614062.8767948,99.811
1746614063.1546385,99.799
1746614063.2112217,99.82
1746614063.2729652,99.864
1746614063.3393774,99.911
1746614063.3916996,99.962
1746614063.4397597,100.105
1746614063.5160885,100.274
1746614063.5701885,100.521
1746614063.6212811,100.846
1746614063.6812718,101.144
1746614063.7483344,101.493
1746614063.795406,101.814
1746614063.8544333,102.18
1746614063.918343,102.601
1746614063.977345,102.955
1746614064.016521,103.32
1746614064.075422,103.804
1746614064.1363616,104.211
1746614064.1808496,104.617
1746614064.232173,104.92
1746614064.2682862,105.153
1746614064.306397,105.359
1746614064.3856025,105.516
1746614064.4565961,105.628
1746614064.5417213,105.708
1746614064.6248686,105.752
1746614064.7388313,105.778
1746614064.8344848,105.81
1746614064.9227366,105.856
1746614065.0321183,105.908
1746614065.0949686,105.951
1746614065.3820884,105.997
1746614065.4465094,106.041
1746614065.5003753,106.087
1746614065.544078,106.125
1746614065.5862174,106.154
1746614065.6812747,106.165
1746614065.8040423,106.176
1746614067.0097258,106.183
1746614067.7721317,105.88
1746614068.5850673,105.992
1746614068.9363115,106.201
1746614069.5338178,106.812
1746614069.9329925,107.495
1746614070.1195161,107.925
1746614070.5015285,109.25
1746614071.3529117,112.642
1746614072.0149317,114.952
1746614072.423832,115.638
1746614072.7519107,115.903
1746614073.2705953,115.951
1746614073.7130766,115.014
1746614073.8237317,114.738
1746614073.8964028,114.413
1746614073.9680028,114.131
1746614074.0561066,113.853
1746614074.1263244,113.661
1746614074.2017493,113.541
1746614074.2650032,113.5
1746614074.3356743,113.562
1746614074.4132502,113.694
1746614074.4861708,113.887
1746614074.5538952,114.081
1746614074.6214929,114.279
1746614075.010705,114.512
1746614076.08158,116.895
1746614076.6521814,117.23
1746614077.1852822,117.012
1746614077.4525678,117.27
1746614077.5063467,117.382
1746614077.5617158,117.504
1746614077.618758,117.599
1746614077.6850023,117.672
1746614077.7359014,117.723
1746614077.78585,117.735
1746614077.8411536,117.725
1746614077.901404,117.707
1746614077.9693937,117.673
1746614078.0346818,117.603
1746614078.1002355,117.518
1746614078.1636353,117.421
1746614078.238822,117.291
1746614078.2985973,117.165
1746614078.3728256,117.01
1746614078.4304216,116.856
1746614078.4671776,116.69
1746614078.532458,116.513
1746614078.5845718,116.371
1746614078.6191585,116.234
1746614079.224064,116.094
1746614079.4300683,115.983
1746614079.4799535,115.874
1746614079.5327291,115.749
1746614079.5974333,115.646
1746614079.693038,115.556
1746614079.7408319,115.47
1746614079.8067203,115.41
1746614079.8396049,115.368
1746614079.8970897,115.346
1746614080.044332,115.332
1746614080.089172,115.333
1746614080.200462,115.351
1746614080.2672276,115.384
1746614080.3194196,115.437
1746614080.3531907,115.495
1746614080.4068384,115.575
1746614080.4642,115.669
1746614080.5135124,115.788
1746614080.5600224,115.923
1746614080.6249638,116.089
1746614080.6578279,116.245
1746614080.772451,116.43
1746614080.8471518,116.608
1746614082.6445153,118.734
1746614083.501114,119.776
1746614084.4281485,119.899
